"","pH","Intensity"
"1",2.83,-31.3992868842699
"2",6.86,183.1709611294
"3",2.83,22.4715413404388
"4",6.86,220.302266459426
"5",2.83,53.2113924743121
"6",6.86,254.694377133957
"7",3.31,-61.2260731329787
"8",7.41,524.048518257501
"9",3.31,1.16669401993253
"10",7.41,493.308667123627
"11",3.31,20.6454115701097
"12",7.41,528.613842683323
"13",3.78,-39.9212258124724
"14",7.88,1044.19114783958
"15",3.78,17.906216914616
"16",7.88,959.580468480993
"17",3.78,27.0368657662616
"18",7.88,962.319663136487
"19",4.25,-40.834290697637
"20",8.33,1790.16515901902
"21",4.25,2.07975890509709
"22",8.33,1835.51404831552
"23",4.25,28.8629955365907
"24",8.33,1856.81889563603
"25",4.8,5.7320184457553
"26",8.94,2963.14918149375
"27",4.8,58.6897817852994
"28",8.94,2972.58418530711
"29",4.8,67.820430636945
"30",8.94,2885.23431129304
"31",5.36,42.8633237757805
"32",9.53,4501.3591580343
"33",5.36,98.5602817708183
"34",9.53,3825.08243308909
"35",5.36,89.4296329191728
"36",9.53,4284.9627802503
"37",5.75,96.7341520004892
"38",10.04,5239.7242951707
"39",5.75,190.475480210717
"40",10.04,5142.33070741982
"41",5.75,193.21467486621
"42",10.04,5380.94499740949
"43",6.35,121.691258861654
"44",6.35,208.128067990565
"45",6.35,198.084354253755
